Stim,Condition,ITI,Painful,Negative
blank,blank,5,NA,NA
R_c_E_P_21.bmp,no-go,3.4,1,1
R_c_NE_P_50.bmp,no-go,3.7,1,0
R_c_NE_NM_56.bmp,no-go,2.5,0,0
R_c_E_P_08.bmp,no-go,2.5,1,1
R_c_NE_P_14.bmp,no-go,2.5,1,0
R_c_NE_P_30.bmp,no-go,4,1,0
blank,blank,5,NA,NA
R_c_E_NM_47.bmp,no-go,3.7,0,1
R_c_NE_P_05.bmp,no-go,3.1,1,0
L_c_NE_P_09.bmp,go,3.7,1,0
R_c_E_NM_25.bmp,no-go,3.1,0,1
L_c_E_P_05.bmp,go,3.7,1,1
blank,blank,5,NA,NA
R_c_NE_P_29.bmp,no-go,4,1,0
R_c_E_P_26.bmp,no-go,3.1,1,1
R_c_E_P_51.bmp,no-go,3.4,1,1
R_c_E_P_47.bmp,no-go,3.7,1,1
R_c_E_P_25.bmp,no-go,2.5,1,1
blank,blank,5,NA,NA
R_c_E_NM_51.bmp,no-go,3.4,0,1
R_c_E_P_33.bmp,no-go,3.7,1,1
L_c_NE_NM_32.bmp,go,2.8,0,0
R_c_NE_P_46.bmp,no-go,3.7,1,0
R_c_E_P_02.bmp,no-go,2.5,1,1
blank,blank,5,NA,NA
R_c_E_P_07.bmp,no-go,3.7,1,1
L_c_NE_P_51.bmp,go,3.4,1,0
L_c_E_NM_55.bmp,go,2.8,0,1
R_c_NE_NM_44.bmp,no-go,2.5,0,0
R_c_E_P_30.bmp,no-go,3.4,1,1
blank,blank,5,NA,NA
R_c_E_P_36.bmp,no-go,2.8,1,1
R_c_NE_NM_55.bmp,no-go,3.4,0,0
R_c_E_NM_21.bmp,no-go,2.5,0,1
R_c_NE_NM_05.bmp,no-go,3.1,0,0
R_c_NE_NM_04.bmp,no-go,2.8,0,0
blank,blank,5,NA,NA
R_c_E_P_44.bmp,no-go,4,1,1
L_c_NE_P_50.bmp,go,2.5,1,0
R_c_NE_P_25.bmp,no-go,3.4,1,0
R_c_NE_P_04.bmp,no-go,4,1,0
R_c_E_P_28.bmp,no-go,3.7,1,1
blank,blank,5,NA,NA
L_c_NE_NM_50.bmp,go,4,0,0
R_c_NE_NM_39.bmp,no-go,2.8,0,0
R_c_E_P_45.bmp,no-go,2.8,1,1
R_c_E_NM_09.bmp,no-go,3.1,0,1
R_c_NE_P_39.bmp,no-go,3.7,1,0
blank,blank,5,NA,NA
R_c_NE_NM_40.bmp,no-go,3.7,0,0
R_c_E_NM_62.bmp,no-go,3.7,0,1
R_c_NE_P_03.bmp,no-go,2.8,1,0
L_c_NE_NM_56.bmp,go,2.8,0,0
R_c_NE_NM_51.bmp,no-go,2.8,0,0
blank,blank,5,NA,NA
R_c_NE_NM_43.bmp,no-go,2.8,0,0
R_c_NE_NM_48.bmp,no-go,3.4,0,0
R_c_NE_NM_02.bmp,no-go,3.1,0,0
R_c_E_NM_33.bmp,no-go,3.4,0,1
R_c_E_P_11.bmp,no-go,2.8,1,1
blank,blank,5,NA,NA
L_c_NE_NM_29.bmp,go,2.5,0,0
R_c_NE_NM_62.bmp,no-go,3.1,0,0
L_c_E_NM_20.bmp,go,4,0,1
R_c_NE_P_37.bmp,no-go,4,1,0
R_c_E_P_32.bmp,no-go,3.1,1,1
blank,blank,5,NA,NA
L_c_E_P_31.bmp,go,3.1,1,1
R_c_E_NM_56.bmp,no-go,3.7,0,1
L_c_NE_NM_43.bmp,go,2.8,0,0
R_c_NE_NM_38.bmp,no-go,2.8,0,0
R_c_E_NM_22.bmp,no-go,3.4,0,1
blank,blank,5,NA,NA
R_c_E_P_31.bmp,no-go,3.7,1,1
R_c_NE_P_15.bmp,no-go,4,1,0
R_c_E_NM_29.bmp,no-go,3.7,0,1
L_c_NE_NM_48.bmp,go,3.1,0,0
L_c_E_P_27.bmp,go,2.8,1,1
blank,blank,5,NA,NA
R_c_NE_P_45.bmp,no-go,2.5,1,0
R_c_NE_P_09.bmp,no-go,3.4,1,0
R_c_E_P_42.bmp,no-go,3.4,1,1
R_c_E_P_39.bmp,no-go,3.7,1,1
L_c_E_NM_47.bmp,go,3.7,0,1
blank,blank,5,NA,NA
R_c_NE_NM_26.bmp,no-go,3.4,0,0
L_c_E_NM_34.bmp,go,4,0,1
R_c_E_P_23.bmp,no-go,2.5,1,1
R_c_E_NM_55.bmp,no-go,3.4,0,1
R_c_NE_NM_32.bmp,no-go,2.8,0,0
pause,pause,,NA,NA
